Team,WIN%,CF%,SF%,xGF%,SCF%,HDCF%,SH%,SV%
Anaheim Ducks,0.573170731707317,50.66,49.35,48.33,49.59,47.75,8.79,92
Atlanta Thrashers,0.4146341463414634,43.4,43.19,44.82,44.44,44.75,9.79,90.44
Boston Bruins,0.5,49.77,48.36,47.09,47.58,43.88,8.81,91.39
Buffalo Sabres,0.47560975609756095,50.21,51.58,51.72,50.26,53.82,10.13,89.98
Carolina Hurricanes,0.524390243902439,52.73,52.99,50.98,50.85,50.73,9.37,89.61
Columbus Blue Jackets,0.4146341463414634,52.01,51.43,52.14,52.29,54.09,7.98,90.66
Calgary Flames,0.5121951219512195,51.93,49.8,53.06,52.81,52.22,9.76,90.41
Chicago Blackhawks,0.4878048780487805,49.16,49.48,49.07,48.64,48.88,10.18,90.15
Colorado Avalanche,0.5365853658536586,48.34,51.22,51.43,50.78,53.77,9.54,90.34
Dallas Stars,0.5487804878048781,51.65,50.58,50.15,49.58,48.71,10.84,90.45
Detroit Red Wings,0.6585365853658537,59.15,59.37,57.51,57.1,54.75,8.94,90.73
Edmonton Oilers,0.5,45.81,45.59,46.28,47.27,46.24,10.2,90.4
Florida Panthers,0.4634146341463415,48.48,48.08,47.05,47.77,46.97,8.28,92.01
Los Angeles Kings,0.3902439024390244,47.45,47.23,47.5,47.65,46.81,9.62,89.98
Minnesota Wild,0.5365853658536586,49.09,47.32,47.97,48.5,45.22,9.92,91.49
Montreal Canadiens,0.573170731707317,47.16,47.93,48.3,49.43,48.68,10.78,91.66
New Jersey Devils,0.5609756097560976,52.46,51.14,51.89,52.93,51.52,8.38,91.45
Nashville Predators,0.5,50.91,49.85,51.54,50.72,50.53,9.36,90.82
New York Islanders,0.4268292682926829,49.12,49.46,47.29,46.95,48.72,7.76,90.35
New York Rangers,0.5121951219512195,53.84,54.84,54.05,53.66,51.23,7.95,91.05
Ottawa Senators,0.524390243902439,51.22,50.15,50.22,48.86,50.67,10.44,90.15
Philadelphia Flyers,0.5121951219512195,47.6,47.48,49.25,49.05,50.91,10.39,91.3
Phoenix Coyotes,0.4634146341463415,49.23,49.82,48.41,47.8,48.62,8.36,91.06
Pittsburgh Penguins,0.573170731707317,46.46,47.35,51.11,50.01,52.56,10.58,91.6
San Jose Sharks,0.5975609756097561,53.43,55.07,56.94,57,58.16,8.9,90.56
St Louis Blues,0.4024390243902439,46.74,48.77,45.97,44.99,46.24,9.43,89.68
Tampa Bay Lightning,0.3780487804878049,49.76,50.45,50.33,49.57,50.4,9.39,88.49
Toronto Maple Leafs,0.43902439024390244,51.16,51.41,48.43,50.14,47.86,8.97,89.35
Vancouver Canucks,0.47560975609756095,48.4,48.76,48.85,49.16,51.04,9.19,91.3
Washington Capitals,0.524390243902439,53.67,52.91,52.73,55.4,52.76,9.38,89.95
Anaheim Ducks,0.5121951219512195,50.33,49.81,49.67,51.45,50.46,9.59,90.6
Atlanta Thrashers,0.4268292682926829,46.58,46.22,46.46,45.95,44.9,10.84,89.6
Boston Bruins,0.6463414634146342,50.13,49.57,50.21,48.58,51.54,10.88,92.48
Buffalo Sabres,0.5,48.97,49.33,49.72,50.05,50.44,9.65,91.11
Carolina Hurricanes,0.5487804878048781,52.03,52.51,50.45,50.86,52.54,8.82,90.86
Columbus Blue Jackets,0.5,50.6,50.97,50.55,50.46,52.11,9.28,90.22
Calgary Flames,0.5609756097560976,53.9,51.99,51.37,53.88,52.08,9.5,89.92
Chicago Blackhawks,0.5609756097560976,53.8,53.37,50.9,51.96,50.51,9.69,91.08
Colorado Avalanche,0.3902439024390244,47.05,49.82,49.4,49.38,53.51,8.05,89.35
Dallas Stars,0.43902439024390244,50.52,50.71,48.78,47.79,48.13,9.45,89.11
Detroit Red Wings,0.6219512195121951,57.57,56.59,54.97,55.7,53.27,9.75,89.45
Edmonton Oilers,0.4634146341463415,47.25,46.33,47.07,46.91,45.54,9.9,90.85
Florida Panthers,0.5,46.86,45.89,46.13,48.11,48.66,9.58,92.16
Los Angeles Kings,0.4146341463414634,51.19,50.86,52.38,51.37,53,8.48,90.18
Minnesota Wild,0.4878048780487805,47.96,47.28,47.77,47.53,47.57,9.48,92.18
Montreal Canadiens,0.5,48.66,48.62,49.27,49.18,48.74,9.83,90.77
New Jersey Devils,0.6219512195121951,52.91,52.77,54.52,53.9,54.1,8.82,91.43
Nashville Predators,0.4878048780487805,49.55,49.62,48.08,48.41,45.98,8.72,90.54
New York Islanders,0.3170731707317073,45.86,46.31,45.31,45.82,45.33,8.34,90.04
New York Rangers,0.524390243902439,53,52.22,51.78,52.48,50.39,7.52,91.29
Ottawa Senators,0.43902439024390244,49.8,50.73,50.55,49.76,49.71,8.85,90.12
Philadelphia Flyers,0.5365853658536586,47.65,47.78,49.12,48.69,49.75,10.65,91.3
